"","name","gender","eye_color","race","hair_color","height","publisher","alignment","weight","imc","categoria_imc","agility","accelerated_healing","durability","stealth","energy_absorption","flight","marksmanship","weapons_master","longevity","intelligence","super_strength","telepathy","energy_blasts","stamina","super_speed","teleportation","enhanced_senses","immortality","reflexes","invulnerability","force_fields","enhanced_hearing","n_poderes","uncommon_power","grupo"
"323","Juggernaut","Male","blue","Human","Red",189.5,"Marvel Comics","neutral",106,30.225,"Obesidade III","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",9,"TRUE","forte"
"324","Junkpile","Male",NA,"Mutant",NA,NA,"Marvel Comics","bad",NA,NA,NA,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",7,"TRUE","fraco"
"325","Justice","Male","hazel","Human","Brown",178,"Marvel Comics","good",81,25.6,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",6,"TRUE","fraco"
"326","K-2SO","Male","white","Android","No Hair",189.5,"George Lucas","good",NA,NA,NA,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",4,"TRUE","fraco"
"327","Kang","Male","brown",NA,"Brown",191,"Marvel Comics","bad",104,28.5,"Sobrepeso","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",9,"TRUE","fraco"
"328","Karate Kid","Male","brown","Human","Brown",173,"DC Comics","good",72,24.1,"Peso normal","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",9,"TRUE","intermediario"
"329","Kathryn Janeway","Female",NA,"Human",NA,NA,"Star Trek","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"FALSE","fraco"
"330","Katniss Everdeen","Female",NA,"Human",NA,NA,NA,"good",NA,NA,NA,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",6,"FALSE","intermediario"
"331","Kevin 11","Male",NA,"Human","Black",NA,"DC Comics","good",NA,NA,NA,"TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",12,"TRUE","forte"
"332","Kick-Ass","Male","blue","Human","Blond",NA,"Icon Comics","good",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",4,"TRUE","fraco"
"333","Kid Flash","Male","green","Human","Red",NA,"DC Comics","good",NA,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2,"FALSE","fraco"
"334","Killer Croc","Male","red","Metahuman","No Hair",189.5,"DC Comics","bad",106,30.225,"Obesidade III","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE",13,"TRUE","forte"
"335","Killer Frost","Female","blue","Human","Blond",NA,"DC Comics","bad",NA,NA,NA,"FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",6,"TRUE","fraco"
"336","Kilowog","Male","red","Bolovaxian","No Hair",189.5,"DC Comics","good",106,30.225,"Obesidade III","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",7,"TRUE","forte"
"337","King Kong","Male","yellow","Animal","Black",175,NA,"good",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",12,"TRUE","forte"
"338","King Shark","Male","black","Animal","No Hair",NA,"DC Comics","bad",NA,NA,NA,"FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",18,"TRUE","forte"
"339","Klaw","Male","red","Human","No Hair",188,"Marvel Comics","bad",97,27.4,"Sobrepeso","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",7,"TRUE","fraco"
"340","Kool-Aid Man","Male","black",NA,"No Hair",NA,NA,"good",NA,NA,NA,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2,"TRUE","fraco"
"341","Kraven II","Male","brown","Human","Black",191,"Marvel Comics","bad",99,27.1,"Sobrepeso","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",7,"TRUE","forte"
"342","Kraven the Hunter","Male","brown","Human","Black",183,"Marvel Comics","bad",106,31.7,"Obesidade I","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",6,"FALSE","forte"
"343","Krypto","Male","blue","Kryptonian","White",175,"DC Comics","good",18,43.9,"Obesidade III","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",14,"TRUE","forte"
"344","Kyle Rayner","Male","green","Human","Black",180,"DC Comics","good",79,24.4,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",12,"TRUE","forte"
"345","Kylo Ren","Male",NA,"Human",NA,NA,"George Lucas","bad",NA,NA,NA,"TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE",23,"TRUE","forte"
"346","Lady Bullseye","Female",NA,NA,"Black",NA,"Marvel Comics","bad",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"FALSE","fraco"
"347","Lady Deathstrike","Female","brown","Cyborg","Black",175,"Marvel Comics","bad",58,18.9,"Peso normal","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",11,"TRUE","forte"
"348","Leader","Male","green",NA,"No Hair",178,"Marvel Comics","bad",63,19.9,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"TRUE","fraco"
"349","Leech","Male",NA,NA,NA,NA,"Marvel Comics","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"350","Legion","Male","green / blue","Mutant","Black",175,"Marvel Comics","good",59,19.3,"Peso normal","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",12,"TRUE","forte"
"351","Leonardo","Male","blue","Mutant","No Hair",NA,"IDW Publishing","good",NA,NA,NA,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",10,"TRUE","intermediario"
"352","Lex Luthor","Male","green","Human","No Hair",188,"DC Comics","bad",95,26.9,"Sobrepeso","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",10,"TRUE","forte"
"353","Light Lass","Female","blue",NA,"Red",165,"DC Comics","good",54,19.8,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"TRUE","fraco"
"354","Lightning Lad","Male","blue",NA,"Red",155,"DC Comics","good",65,27.1,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"355","Lightning Lord","Male","blue",NA,"Red",191,"DC Comics","bad",95,26,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2,"TRUE","fraco"
"356","Living Brain",NA,"yellow",NA,NA,198,"Marvel Comics","bad",106,30.225,"Obesidade III","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",4,"FALSE","fraco"
"357","Living Tribunal",NA,"blue","Cosmic Entity","No Hair",NA,"Marvel Comics","neutral",NA,NA,NA,"TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE",12,"TRUE","forte"
"358","Liz Sherman","Female",NA,NA,NA,NA,"Dark Horse Comics","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"359","Lizard","Male","red","Human","No Hair",203,"Marvel Comics","bad",106,30.225,"Obesidade III","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE",14,"TRUE","forte"
"360","Lobo","Male","red","Czarnian","Black",189.5,"DC Comics","neutral",106,30.225,"Obesidade III","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE",13,"TRUE","forte"
"361","Loki","Male","green","Asgardian","Black",193,"Marvel Comics","bad",106,30.225,"Obesidade III","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",14,"TRUE","forte"
"362","Longshot","Male","blue","Human","Blond",188,"Marvel Comics","good",36,10.2,"Abaixo do peso","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",7,"TRUE","intermediario"
"363","Luke Cage","Male","brown","Human","Black",198,"Marvel Comics","good",106,30.225,"Obesidade III","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",6,"TRUE","forte"
"364","Luke Campbell","Male",NA,NA,NA,NA,"NBC - Heroes","bad",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"365","Luke Skywalker","Male","blue","Human","Blond",168,"George Lucas","good",77,27.3,"Sobrepeso","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE",25,"TRUE","forte"
"366","Luna","Female",NA,"Human",NA,NA,"Marvel Comics","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"367","Lyja","Female","green",NA,"Green",NA,"Marvel Comics","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"TRUE","fraco"
"368","Mach-IV","Male","brown",NA,"Brown",180,"Marvel Comics","bad",79,24.4,"Peso normal","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",5,"TRUE","fraco"
"369","Machine Man",NA,"red",NA,"Black",183,"Marvel Comics","good",106,30.225,"Obesidade III","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",5,"TRUE","fraco"
"370","Magneto","Male","grey","Mutant","White",188,"Marvel Comics","bad",86,24.3,"Peso normal","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",10,"TRUE","forte"
"371","Magog","Male","blue",NA,"Blond",NA,"DC Comics","good",NA,NA,NA,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",4,"TRUE","fraco"
"372","Magus","Male","black",NA,NA,183,"Marvel Comics","bad",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",10,"TRUE","fraco"
"373","Man of Miracles",NA,"blue","God / Eternal","Silver",NA,"Image Comics",NA,NA,NA,NA,"FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE",12,"TRUE","forte"
"374","Man-Bat","Male","brown","Human","Brown",NA,"DC Comics","neutral",NA,NA,NA,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",11,"TRUE","forte"
"375","Man-Thing","Male","red",NA,"No Hair",189.5,"Marvel Comics","good",106,30.225,"Obesidade III","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",11,"TRUE","forte"
"376","Man-Wolf","Male","brown",NA,"Auburn",188,"Marvel Comics","good",90,25.5,"Sobrepeso","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE",9,"TRUE","forte"
"377","Mandarin","Male","blue","Human","White",188,"Marvel Comics","bad",97,27.4,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",11,"TRUE","fraco"
"378","Mantis","Female","green","Human-Kree","Black",168,"Marvel Comics","good",52,18.4,"Abaixo do peso","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",14,"TRUE","forte"
"379","Martian Manhunter","Male","red","Martian","No Hair",201,"DC Comics","good",135,33.4,"Obesidade I","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE",12,"TRUE","forte"
"380","Marvel Girl","Female","green",NA,"Red",170,"Marvel Comics","good",56,19.4,"Peso normal","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",11,"TRUE","fraco"
"381","Master Brood","Male","blue",NA,"Black",183,"Team Epic TV","good",81,24.2,"Peso normal","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",3,"FALSE","fraco"
"382","Master Chief","Male","brown","Human / Altered","Brown",189.5,"Microsoft","good",NA,NA,NA,"TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",11,"TRUE","forte"
"383","Match","Male","black",NA,"Black",NA,"DC Comics","bad",NA,NA,NA,"FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE",15,"TRUE","forte"
"384","Matt Parkman","Male",NA,NA,NA,NA,"NBC - Heroes","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"FALSE","fraco"
"385","Maverick","Male","blue",NA,"Black",193,"Marvel Comics","good",110,29.5,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"386","Maxima","Female","brown",NA,"Red",180,"DC Comics","bad",72,22.2,"Peso normal","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",10,"TRUE","forte"
"387","Maya Herrera","Female",NA,NA,NA,NA,"NBC - Heroes","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",2,"TRUE","fraco"
"388","Medusa","Female","green","Inhuman","Red",180,"Marvel Comics","good",59,18.2,"Abaixo do peso","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",7,"TRUE","forte"
"389","Meltdown","Female","blue",NA,"Blond",165,"Marvel Comics","good",54,19.8,"Peso normal","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",7,"TRUE","fraco"
"390","Mephisto","Male","white",NA,"Black",198,"Marvel Comics","bad",140,35.7,"Obesidade II","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",17,"TRUE","forte"
"391","Mera","Female","blue","Atlantean","Red",175,"DC Comics","good",72,23.5,"Peso normal","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE",14,"TRUE","forte"
"392","Metallo","Male","green","Android","Brown",196,"DC Comics","bad",90,23.4,"Peso normal","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",9,"TRUE","fraco"
"393","Metamorpho","Male","black",NA,"No Hair",185,"DC Comics","good",90,26.3,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",4,"TRUE","fraco"
"394","Metron","Male","blue",NA,"Black",185,"DC Comics","good",86,25.1,"Sobrepeso","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",5,"TRUE","fraco"
"395","Micah Sanders","Male","brown",NA,"Black",NA,"NBC - Heroes","good",NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"396","Michelangelo","Male","blue","Mutant",NA,NA,"IDW Publishing","good",NA,NA,NA,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",10,"TRUE","intermediario"
"397","Micro Lad","Male","grey",NA,"Brown",183,"DC Comics","good",77,23,"Peso normal","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",1,"TRUE","fraco"
"398","Mimic","Male","brown",NA,"Brown",188,"Marvel Comics","good",101,28.6,"Sobrepeso","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",9,"TRUE","forte"
"399","Minna Murray","Female",NA,NA,NA,NA,"Wildstorm","good",NA,NA,NA,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE",5,"TRUE","fraco"
"400","Misfit","Female","blue",NA,"Red",NA,"DC Comics","good",NA,NA,NA,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",3,"FALSE","fraco"
"401","Miss Martian","Female","red",NA,"Red",178,"DC Comics","good",61,19.3,"Peso normal","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",16,"TRUE","forte"
"402","Mister Fantastic","Male","brown","Human / Radiation","Brown",185,"Marvel Comics","good",81,23.7,"Peso normal","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",5,"TRUE","fraco"
